Epoch	ACC_Train	ACC_Val	ACC_Test_Seen	ACC_Test_Unseen	P_Train	P_Val	P_Test_Seen	P_Test_Unseen	R_Train	R_Val	R_Test_Seen	R_Test_Unseen	F1_Train	F1_Val	F1_Test_Seen	F1_Test_Unseen	AUC_Train	AUC_Val	AUC_Test_Seen	AUC_Test_Unseen	MCC_Train	MCC_Val	MCC_Test_Seen	MCC_Test_Unseen
1	0.6645205857971815	0.7349917081260365	0.7507462686567165	0.6366412213740458	0.7197756184450146	0.8639829216224458	0.8826466916354557	0.5997942386831275	0.7792200316592316	0.7109159347553325	0.7150442477876107	0.8701492537313433	0.7483191564341931	0.7800110132158591	0.7900544768822461	0.7101096224116931	0.6887080490142172	0.8354579673776663	0.8502783421930453	0.7106931488391377	0.2495077842769781	0.46842040564636006	0.508230364789796	0.29970572975092846
2	0.7561665285069541	0.7943615257048093	0.7930348258706468	0.6796437659033079	0.7967876805894771	0.9372411596049698	0.9364721057723315	0.6238865061035962	0.8309684846740538	0.7382685069008783	0.7342604298356511	0.9407960199004975	0.8135192059791068	0.8259404828747894	0.8231292517006804	0.7502479666732791	0.8236969313125473	0.9035987029600612	0.9115312323884667	0.7371510934908789	0.46268475811837056	0.6083210423894075	0.607701728949568	0.4130122157528643
3	0.8039513677811551	0.8467661691542289	0.848424543946932	0.6221374045801527	0.8374140803270197	0.9297950014041	0.932574679943101	0.5806451612903226	0.8608288962440639	0.8308657465495608	0.8288242730720606	0.9402985074626866	0.8489600703930515	0.8775510204081632	0.8776439089692101	0.717948717948718	0.8786599078415	0.9346131734836933	0.9430454053889389	0.7129021558872306	0.5702826866061813	0.68222159223679	0.6885225168615675	0.3039770862356138
4	0.8380860274477295	0.8749585406301824	0.8655058043117745	0.6173027989821883	0.8665047515497254	0.969485614646905	0.9612676056338029	0.5784739454094293	0.8830767016836955	0.8371392722710164	0.8283185840707965	0.927860696517413	0.8747122422652859	0.8984648532184217	0.8898546787994024	0.7126480703095147	0.9120035023043308	0.9628378423979901	0.967854020379876	0.7478939935737977	0.6462008771440805	0.7515561937436497	0.7328407175991493	0.28652768404493595
5	0.8659021829234596	0.8844112769485903	0.8973466003316749	0.6033078880407124	0.8897086992919676	0.9718714121699197	0.9703891708967851	0.5689813398592842	0.9023456612462225	0.8496863237139273	0.8700379266750948	0.9253731343283582	0.8959826244757693	0.9066809479180613	0.9174776696440475	0.704678916461451	0.9371340032872928	0.9715942731453218	0.9778357120009747	0.7670620854063017	0.7074942023378731	0.7684920930626212	0.7909552569033133	0.25594829752952564
6	0.8868379847103252	0.9038142620232172	0.9167495854063018	0.6106870229007634	0.90754039497307	0.9756915339480302	0.9832073887489504	0.5740740740740741	0.9165779248812779	0.8762860727728984	0.8882427307206068	0.9253731343283582	0.9120367718655136	0.9233209941829721	0.9333156216790647	0.7085714285714286	0.9539561316967471	0.9812126157687907	0.9866022877857827	0.7626085717247099	0.7535258240813665	0.8036013609548573	0.8308482319335325	0.271475435061365
7	0.9039789997236806	0.9180762852404644	0.9255389718076286	0.6335877862595419	0.921405231089739	0.9828492392807745	0.9888455103179029	0.5904761904761905	0.9292416174989208	0.8915934755332496	0.8965865992414666	0.9253731343283582	0.9253068330813708	0.9349999999999999	0.9404588250895107	0.7209302325581395	0.9653446395459357	0.987708491194056	0.991829893531141	0.7447012334162522	0.7909726713735051	0.8321282346468983	0.8489446556386869	0.31770264624966316
8	0.9165239016302846	0.9398009950248756	0.945273631840796	0.6335877862595419	0.9311840847140758	0.9783412572636028	0.9868385710448563	0.584070796460177	0.9389696359188372	0.9294855708908406	0.9289506953223767	0.9850746268656716	0.9350606544808363	0.9532878651396217	0.9570200573065903	0.7333333333333334	0.972920749331325	0.9914107610139491	0.9941801897856914	0.7662842039800997	0.81829901982201	0.8710643540194697	0.88495641769053	0.36400353526800966
9	0.9255687574836511	0.9295190713101161	0.9323383084577115	0.6030534351145038	0.9389680758288418	0.982646420824295	0.9895114545956389	0.5688073394495413	0.9451431860699381	0.9094102885821832	0.9064475347661188	0.9253731343283582	0.9420455115930492	0.9446109735435945	0.946159936658749	0.7045454545454546	0.9779469367992244	0.9921071377077244	0.9944789727811373	0.7390178016169153	0.8380852251810924	0.8529489499321742	0.8615663258865898	0.25540648725968346
10	0.9334991249884866	0.9475953565505805	0.9500829187396351	0.5979643765903307	0.9453838011043401	0.9828902342721769	0.9882415820416889	0.5630498533724341	0.9510433155849762	0.9370138017565872	0.9350189633375474	0.9552238805970149	0.9482051134896267	0.9594039054470708	0.9608938547486033	0.7084870848708487	0.9821923675387267	0.9939781515647002	0.9958683380805142	0.727958255597015	0.8553682336312107	0.8876358348320174	0.8946646309813828	0.2643410921957747
