Epoch	ACC_Train	ACC_Val	ACC_Test_Seen	ACC_Test_Unseen	P_Train	P_Val	P_Test_Seen	P_Test_Unseen	R_Train	R_Val	R_Test_Seen	R_Test_Unseen	F1_Train	F1_Val	F1_Test_Seen	F1_Test_Unseen	AUC_Train	AUC_Val	AUC_Test_Seen	AUC_Test_Unseen	MCC_Train	MCC_Val	MCC_Test_Seen	MCC_Test_Unseen
26	26	[0.7632720604678206, 0.7359098228663447, 0.7640901771336553, 0.7328059767084157, 0.7667193259610321, 0.7482876712328768, 0.7967914438502673, 0.7352043929225137, 0.7682701609357137, 0.7071197411003236, 0.7140575079872205, 0.6064418721690992, 0.7674939600263562, 0.7271214642262894, 0.7531592249368155, 0.6646442360728074, 0.8491415967986053, 0.8332114554808729, 0.855579125347496, 0.8132314019284475, 0.5263895769094057, 0.4723765137131153, 0.531461869226687, 0.4516772341590968]
27	27	[0.7655530211547923, 0.7367149758454107, 0.7640901771336553, 0.7334651724895628, 0.7705004854797423, 0.7207890743550834, 0.7589424572317263, 0.6988694758478932, 0.7676545598452204, 0.7686084142394822, 0.7795527156549521, 0.6844489179667841, 0.7690748898678414, 0.7439310884886454, 0.7691095350669819, 0.6915840325451309, 0.8492281832097226, 0.8389267488175254, 0.8597257375212648, 0.8152882582339026, 0.5310023579506314, 0.47462051284721213, 0.5282438178223319, 0.4570377163135505]
28	28	[0.7667158638579543, 0.7383252818035426, 0.7673107890499195, 0.7402768622280818, 0.7735312416674074, 0.7138686131386861, 0.7549167927382754, 0.6928605654048874, 0.7653680415091021, 0.7912621359223301, 0.7971246006389776, 0.727730246602919, 0.7694279904517725, 0.750575594781274, 0.7754467754467754, 0.7098674521354934, 0.8520312907130609, 0.8391756908140402, 0.8604855607651134, 0.8216064324505542, 0.5334113442104945, 0.47970836238204567, 0.5352317493818562, 0.4755093997710441]
29	29	[0.7718144818641263, 0.748792270531401, 0.785829307568438, 0.7534607778510217, 0.7736359668267132, 0.75, 0.7903225806451613, 0.7351821642196846, 0.7793509805645942, 0.7427184466019418, 0.7827476038338658, 0.6804227478610971, 0.7764829580303162, 0.7463414634146343, 0.7865168539325842, 0.7067433350757972, 0.8573313699129952, 0.8453370052277819, 0.8655761171735613, 0.8308300953074861, 0.5434515885898757, 0.4975725910958059, 0.5716908526007953, 0.4957333084330298]
30	30	[0.7742296167091551, 0.7665056360708534, 0.7866344605475041, 0.7552186332674138, 0.776572478348351, 0.7404692082111437, 0.773071104387292, 0.7105643994211288, 0.7806701257585085, 0.8171521035598706, 0.8162939297124601, 0.7413185707096125, 0.77861591088501, 0.7769230769230769, 0.7940947940947941, 0.7256157635467979, 0.8612588682140816, 0.8525511368351175, 0.8689214140492096, 0.8352037856048716, 0.5482930651957433, 0.5360846064779377, 0.573960770767225, 0.5052198307592269]
31	31	[0.7809383246120131, 0.7657004830917874, 0.784219001610306, 0.7593935398813447, 0.7838288169779882, 0.749618320610687, 0.7712121212121212, 0.7074418604651163, 0.7860346495470935, 0.7944983818770227, 0.8130990415335463, 0.7654755913437342, 0.7849301835426362, 0.7714061272584447, 0.791601866251944, 0.7353154459753444, 0.8674231067689325, 0.8570217201891959, 0.870464399817435, 0.8379419424386436, 0.5617288637417783, 0.5324703321911525, 0.5690741076101895, 0.5167447363657811]
32	32	[0.786841987566528, 0.7745571658615137, 0.7971014492753623, 0.7780707536805098, 0.7885035380449026, 0.7743506493506493, 0.7940251572327044, 0.7414730598121602, 0.7937736346847243, 0.7718446601941747, 0.8067092651757188, 0.754906894816306, 0.7911298097992812, 0.7730956239870341, 0.8003169572107766, 0.7481296758104737, 0.8714958014814699, 0.864124346527259, 0.8773650470934817, 0.8479667369885535, 0.5735224323400474, 0.549099641219337, 0.5942010388844249, 0.5498786945578787]
33	33	[0.7938190437855003, 0.7785829307568438, 0.8027375201288245, 0.7734563832124808, 0.7949568100514789, 0.7797716150081566, 0.8028616852146264, 0.7291466922339406, 0.8012487907835723, 0.7734627831715211, 0.8067092651757188, 0.7654755913437342, 0.7980903994393833, 0.776604386677498, 0.804780876494024, 0.7468696292658973, 0.8779201474241196, 0.8672283420463032, 0.8808140741048088, 0.8489626801981993, 0.5874792036555007, 0.5571563624033156, 0.6054411808678845, 0.5426026101683433]
34	34	[0.7954291336821862, 0.7665056360708534, 0.7906602254428341, 0.7642276422764228, 0.7985592550294298, 0.7296918767507002, 0.754874651810585, 0.6896265560165975, 0.7994019875120921, 0.843042071197411, 0.865814696485623, 0.8364368394564671, 0.7989803990507164, 0.7822822822822822, 0.8065476190476191, 0.7559699795314987, 0.8799107784999151, 0.8707602066218572, 0.8860654122235592, 0.8481783307567834, 0.5907309940865482, 0.5398288297684736, 0.5872903029817178, 0.5412558290764836]
35	35	[0.7987834876336151, 0.7898550724637681, 0.8107890499194848, 0.7807075368050977, 0.8023051205349288, 0.8020304568527918, 0.8108108108108109, 0.7513980681240467, 0.8019523348869932, 0.7669902912621359, 0.8146964856230032, 0.7438349270256668, 0.8021286889211419, 0.7841191066997518, 0.8127490039840637, 0.7475973697521497, 0.8841541849429078, 0.8740301634719111, 0.8886975644164142, 0.8513965973837745, 0.5974520025475035, 0.5801609076802853, 0.6215460988532417, 0.5537665900536292]
