Epoch	ACC_Train	ACC_Val	ACC_Test_Seen	ACC_Test_Unseen	P_Train	P_Val	P_Test_Seen	P_Test_Unseen	R_Train	R_Val	R_Test_Seen	R_Test_Unseen	F1_Train	F1_Val	F1_Test_Seen	F1_Test_Unseen	AUC_Train	AUC_Val	AUC_Test_Seen	AUC_Test_Unseen	MCC_Train	MCC_Val	MCC_Test_Seen	MCC_Test_Unseen
1	1	[0.5598640368531688, 0.6731078904991948, 0.7085346215780999, 0.6888595912986157, 0.5658801240096452, 0.725531914893617, 0.7972972972972973, 0.8034006376195537, 0.57787353794741, 0.551779935275081, 0.5654952076677316, 0.3804730749874182, 0.571813949440891, 0.6268382352941176, 0.6616822429906541, 0.5163934426229508, 0.5824260815285833, 0.753534457721351, 0.8046242894485707, 0.7383621464637147, 0.11917207051134132, 0.35572135286577183, 0.4375261560560055, 0.3775821844286713]
2	2	[0.6607182789927993, 0.71658615136876, 0.7520128824476651, 0.7042408261920458, 0.6628797659006799, 0.6894586894586895, 0.7324561403508771, 0.6646122239342578, 0.6773370855685515, 0.7831715210355987, 0.8003194888178914, 0.6512330145948666, 0.6700304480208786, 0.7333333333333333, 0.764885496183206, 0.6578546009150991, 0.7167827202832411, 0.7972548958592649, 0.8245845608066056, 0.7736818179320026, 0.3210584087653939, 0.4375454831228013, 0.505835002501682, 0.39751683778871694]
3	3	[0.6982423185294512, 0.6996779388083736, 0.7206119162640902, 0.6877609316633707, 0.7018861334264758, 0.6409666283084005, 0.6674669867947179, 0.60994560994561, 0.7068859379122329, 0.901294498381877, 0.8881789137380192, 0.790135883241067, 0.7043771633878105, 0.7491593813046401, 0.7621658670322139, 0.6884455163341373, 0.766909073135388, 0.8088773753215501, 0.8375326749927389, 0.7952767481610186, 0.39624295377526814, 0.4377089571632357, 0.46651597536401246, 0.3987900263697507]
4	4	[0.7221700433829777, 0.7326892109500805, 0.7576489533011272, 0.7350032959789057, 0.7242458489089802, 0.7014084507042253, 0.7311522048364154, 0.7005649717514124, 0.7326532407000264, 0.8058252427184466, 0.8210862619808307, 0.6864620030196276, 0.728425286351316, 0.7499999999999999, 0.7735139202407826, 0.6934417895271987, 0.7950718826082751, 0.8288368185212844, 0.8453539272229369, 0.8056036232390413, 0.44409551075545955, 0.4709377986482059, 0.518794121896012, 0.46019892738130397]
5	5	[0.7323225546759694, 0.751207729468599, 0.7665056360708534, 0.7413755218633268, 0.7336862200624783, 0.7366003062787136, 0.7592592592592593, 0.7222832052689352, 0.7435581743030516, 0.7783171521035599, 0.7859424920127795, 0.6623049823855058, 0.7385892116182573, 0.7568843430369787, 0.772370486656201, 0.6909950118141245, 0.807962377037852, 0.834705107459962, 0.8499413924733412, 0.8210945247070075, 0.464405910897826, 0.5033389678060252, 0.5331826636746066, 0.47064653203160056]
6	6	[0.7421619929334944, 0.7608695652173914, 0.7673107890499195, 0.7464293561854537, 0.7423901764095469, 0.7238493723849372, 0.743849493487699, 0.7110998479472884, 0.7549907659836426, 0.8398058252427184, 0.8210862619808307, 0.7060895822848515, 0.7486374536734249, 0.7775280898876404, 0.7805618830675778, 0.7085858585858585, 0.8180555185169025, 0.8451684507509751, 0.8566475457449898, 0.8288269225786646, 0.48409222922121437, 0.5288494362707198, 0.5371547842358741, 0.4841740112997739]
7	7	[0.7497651952234, 0.751207729468599, 0.7616747181964574, 0.7490661393100417, 0.7516994945093254, 0.7125171939477304, 0.7370689655172413, 0.7103036336485814, 0.7585084865007475, 0.8381877022653722, 0.8194888178913738, 0.7181680926019124, 0.7550886408404465, 0.7702602230483273, 0.7760968229954616, 0.7142142142142142, 0.8326493485734168, 0.8414758111360054, 0.8541683955022613, 0.8349495982858941, 0.49932566784873755, 0.5107413893272811, 0.5262460001197599, 0.4905914833616548]
8	8	[0.7594704593228677, 0.7673107890499195, 0.788244766505636, 0.7670841573280598, 0.7610873921756557, 0.7488653555219364, 0.7729323308270677, 0.7363590005099439, 0.7681822179227861, 0.8009708737864077, 0.8210862619808307, 0.7267237040764972, 0.7646183473389355, 0.7740422204847537, 0.7962819519752129, 0.7315096251266464, 0.8422020543065232, 0.8578904240312007, 0.8728864984855401, 0.8445219590363886, 0.5187448731699013, 0.5360521695295495, 0.5773888538300352, 0.5258954402562808]
9	9	[0.7694440717384499, 0.7745571658615137, 0.7962962962962963, 0.7692814765985497, 0.7692307692307693, 0.7414285714285714, 0.7746686303387335, 0.7325062034739455, 0.7809339547972913, 0.8398058252427184, 0.8402555910543131, 0.742828384499245, 0.7750381845952433, 0.7875569044006069, 0.8061302681992337, 0.7376311844077962, 0.8501015146335156, 0.8658980582524272, 0.8831635616779386, 0.8461287369461563, 0.538695045643246, 0.5542383436786384, 0.594458232389758, 0.5318082748895803]
10	10	[0.7755713582897268, 0.7689210950080515, 0.7971014492753623, 0.7741155789936278, 0.7745699714754949, 0.7314685314685314, 0.7648725212464589, 0.7158937415578568, 0.7880573388444289, 0.8462783171521036, 0.8626198083067093, 0.8002013085052844, 0.7812554489973844, 0.7846961740435109, 0.8108108108108109, 0.7557034220532319, 0.8577276497090534, 0.8635616338893037, 0.8827745736691424, 0.8577143790331383, 0.5509611994843279, 0.5448579244436245, 0.5987554361560637, 0.549787678159737]
