Epoch	ACC_Train	ACC_Val	ACC_Test_Seen	ACC_Test_Unseen	P_Train	P_Val	P_Test_Seen	P_Test_Unseen	R_Train	R_Val	R_Test_Seen	R_Test_Unseen	F1_Train	F1_Val	F1_Test_Seen	F1_Test_Unseen	AUC_Train	AUC_Val	AUC_Test_Seen	AUC_Test_Unseen	MCC_Train	MCC_Val	MCC_Test_Seen	MCC_Test_Unseen
1	1	[0.5614294020305023, 0.6763285024154589, 0.7012882447665056, 0.6846846846846847, 0.5675092744370632, 0.7307692307692307, 0.7917620137299771, 0.8333333333333334, 0.5784891390379034, 0.5533980582524272, 0.5527156549520766, 0.34725717161550074, 0.5729466074383764, 0.6298342541436465, 0.6509877704609596, 0.4902309058614565, 0.5817874822357194, 0.7568899883827068, 0.804569831127339, 0.7339769735731552, 0.12232912512356796, 0.36264988329764347, 0.424015203495642, 0.3772317158945422]
2	2	[0.6562458070575607, 0.7214170692431562, 0.7536231884057971, 0.7202812568666227, 0.6580595350433216, 0.7158730158730159, 0.7597402597402597, 0.7268106734434562, 0.6746108521677953, 0.7297734627831716, 0.7476038338658147, 0.5757423251132361, 0.6662324127149557, 0.7227564102564104, 0.7536231884057972, 0.642516147149677, 0.7141288389790326, 0.797638681437225, 0.8279843160034854, 0.7795705235355865, 0.31209052998287906, 0.4429558417213718, 0.5073440936060745, 0.42546538871402095]
3	3	[0.6989579140390894, 0.6723027375201288, 0.6980676328502415, 0.6558998022412657, 0.703330411919369, 0.6123535676251332, 0.6386740331491713, 0.5684107897302567, 0.7057426787441737, 0.93042071197411, 0.9233226837060703, 0.8802214393558128, 0.7045344804881261, 0.7385998715478485, 0.7550620509470933, 0.6907582938388624, 0.7677383490154368, 0.8109700439797529, 0.8359533836770259, 0.7988844415377018, 0.3977055311496709, 0.40408361745651067, 0.44132058432585036, 0.3839641511869099]
4	4	[0.7198443579766537, 0.7415458937198067, 0.7632850241545893, 0.7372006152493957, 0.7217542336083369, 0.7213114754098361, 0.7561728395061729, 0.7266475644699141, 0.7308943804414739, 0.7831715210355987, 0.7827476038338658, 0.638147961751384, 0.7262955518657693, 0.7509697439875872, 0.7692307692307693, 0.6795284030010718, 0.7958214391235382, 0.8286319600033194, 0.8467205717605079, 0.8122606811670554, 0.439437025544343, 0.4850612047622989, 0.5267351340928422, 0.4611699575024612]
5	5	[0.731696408605036, 0.7552334943639292, 0.7673107890499195, 0.7459898923313557, 0.7344622905027933, 0.7422839506172839, 0.7636932707355243, 0.7419918462434478, 0.739952510773019, 0.7783171521035599, 0.7795527156549521, 0.6411675893306492, 0.7371971787795155, 0.7598736176935228, 0.7715415019762846, 0.6879049676025918, 0.8096925845856036, 0.8367173885984566, 0.8513313762914402, 0.8230522577722436, 0.46317878039256727, 0.5111663603234895, 0.534630157223921, 0.479270961929078]
6	6	[0.7405519030368084, 0.7536231884057971, 0.7681159420289855, 0.7442320369149638, 0.7413763217195355, 0.7136986301369863, 0.7393767705382436, 0.706472654290015, 0.7522645325828863, 0.843042071197411, 0.8338658146964856, 0.7086059386009059, 0.7467807411934175, 0.7729970326409497, 0.7837837837837838, 0.7075376884422111, 0.8183453550930448, 0.8434206704837772, 0.8547440977552799, 0.8256227883740413, 0.48087233163599513, 0.5161127567952821, 0.5402317284091506, 0.4802853511674586]
7	7	[0.7533878974909433, 0.749597423510467, 0.7616747181964574, 0.7470885519666007, 0.7550291735609161, 0.7195994277539342, 0.7455357142857143, 0.7237687366167024, 0.7624659220824905, 0.813915857605178, 0.8003194888178914, 0.6804227478610971, 0.7587293252822263, 0.7638572513287775, 0.7719568567026194, 0.7014267185473411, 0.8341891156387232, 0.8380761969960999, 0.8512613584498568, 0.8361848112575735, 0.5065717691617373, 0.5037972964162456, 0.5244768321589136, 0.4831178116977718]
8	8	[0.7589337626906392, 0.7745571658615137, 0.7874396135265701, 0.7677433531092067, 0.7591196603413916, 0.7717041800643086, 0.7996688741721855, 0.7684757505773672, 0.7704687362589042, 0.7766990291262136, 0.7715654952076677, 0.6698540513336688, 0.7647520949720671, 0.7741935483870968, 0.7853658536585366, 0.7157838128529174, 0.8413882212771701, 0.8561504232013941, 0.8712164433011077, 0.8482391786864226, 0.5176602439550981, 0.5491292307030248, 0.5753338997277149, 0.524494832875283]
9	9	[0.7681470548772307, 0.7753623188405797, 0.7987117552334944, 0.7730169193583828, 0.7672108490973482, 0.7350901525658807, 0.7662889518413598, 0.7237335834896811, 0.7811098408231466, 0.8576051779935275, 0.8642172523961661, 0.7765475591343735, 0.7740979606065888, 0.7916355489171023, 0.8123123123123122, 0.7492109735372664, 0.8486899044206395, 0.8703401170027385, 0.8825982324384881, 0.8560094593013715, 0.5361026448225912, 0.5588016878801935, 0.6020067532531145, 0.5434973714493978]
10	10	[0.7757949818864887, 0.7745571658615137, 0.8091787439613527, 0.7824653922214898, 0.7759069605971186, 0.7514880952380952, 0.7872968980797637, 0.7476403378042722, 0.7862105355729487, 0.8171521035598706, 0.8514376996805112, 0.7574232511323603, 0.7810247673961472, 0.7829457364341085, 0.8181120491174213, 0.7524999999999998, 0.8580996427311098, 0.8653820222388184, 0.8845924442969172, 0.8612712349460259, 0.5514048726491603, 0.5513800549971717, 0.6201782103826025, 0.5585106226455165]
11	11	[0.7807147010152511, 0.7922705314009661, 0.8011272141706924, 0.7727971874313337, 0.782890132960112, 0.7769230769230769, 0.7910906298003072, 0.7415103902686264, 0.787089965702225, 0.8171521035598706, 0.8226837060702875, 0.7362858580775038, 0.7849844318729992, 0.7965299684542587, 0.8065779169929522, 0.7388888888888888, 0.8647590009289561, 0.8693702804746495, 0.8835266171528152, 0.8533140923019911, 0.5612680203018747, 0.5854121622583349, 0.6025885393961944, 0.5378147985127986]
12	12	[0.7810277740507179, 0.789049919484702, 0.8099838969404187, 0.7829048560755878, 0.7821350762527233, 0.7528409090909091, 0.7859237536656891, 0.7352802637776731, 0.7892885410254156, 0.8576051779935275, 0.8562300319488818, 0.7856064418721691, 0.7856955265692025, 0.8018154311649017, 0.819571865443425, 0.7596107055961071, 0.8652221944089948, 0.8749611028130447, 0.8927534127214638, 0.8646730267801552, 0.5618815038611003, 0.5839919231510544, 0.6222060424094346, 0.5631128037165902]
13	13	[0.78706561116329, 0.7971014492753623, 0.8115942028985508, 0.7738958470665788, 0.7906260991909955, 0.797077922077922, 0.8266666666666667, 0.7935049019607843, 0.7906956292322574, 0.7944983818770227, 0.792332268370607, 0.6517362858580775, 0.7906608626830234, 0.7957860615883307, 0.8091353996737356, 0.7156673114119922, 0.8728245469342127, 0.8753293295162228, 0.8909977801750965, 0.8640400120282619, 0.5740055757307251, 0.5941901957588411, 0.6238376863336321, 0.5380659423342208]
14	14	[0.7973970213336912, 0.7761674718196457, 0.8083735909822867, 0.7815864645132938, 0.800280923536125, 0.7348066298342542, 0.7763532763532763, 0.7261958997722096, 0.8016885058482104, 0.86084142394822, 0.8706070287539937, 0.8022143935581278, 0.8009840963008523, 0.7928464977645305, 0.8207831325301204, 0.762314681970349, 0.8790552989955194, 0.8728269438220895, 0.8917057383511058, 0.862334797871029, 0.5946636385695943, 0.5609118204745556, 0.6210224021623649, 0.5635856326327731]
15	15	[0.7973522966143387, 0.7906602254428341, 0.8019323671497585, 0.7675236211821578, 0.8005800667955704, 0.8551587301587301, 0.8740157480314961, 0.845867460908414, 0.801072904757717, 0.6974110032362459, 0.7092651757188498, 0.571716155007549, 0.8008264099520858, 0.768270944741533, 0.7830687830687831, 0.6822822822822823, 0.8801006467284991, 0.8835107045058501, 0.9047264636322144, 0.8734492610705938, 0.5945814026879191, 0.5910011326290805, 0.6156272934530859, 0.5339113426334097]
16	16	[0.8040162797978443, 0.7979066022544283, 0.8188405797101449, 0.7872994946165678, 0.8078583384723813, 0.7954911433172303, 0.8208, 0.7671735710540115, 0.806437428546302, 0.7993527508090615, 0.8194888178913738, 0.7362858580775038, 0.8071472581638941, 0.7974172719935432, 0.8201438848920864, 0.751412429378531, 0.8865766836020729, 0.8827949962658701, 0.8993195303099456, 0.8697848417207952, 0.6079305056537587, 0.5958201571055733, 0.6376631948165171, 0.566046357561035]
17	17	[0.804910774184892, 0.8003220611916264, 0.822061191626409, 0.7842232476378818, 0.8098859315589354, 0.8135593220338984, 0.8403361344537815, 0.793002915451895, 0.8054700554040981, 0.7766990291262136, 0.7987220447284346, 0.6844489179667841, 0.8076719576719577, 0.7947019867549668, 0.819000819000819, 0.7347379794705564, 0.8883789070972509, 0.8816747572815535, 0.9023147379776774, 0.8707483981291813, 0.6097534930823497, 0.6011594699870355, 0.6450459813827651, 0.5588048224369018]
18	18	[0.8096963191555973, 0.7962962962962963, 0.820450885668277, 0.7813667325862448, 0.8145332390381895, 0.8288288288288288, 0.8516579406631762, 0.8092269326683291, 0.8103069211151174, 0.7443365695792881, 0.7795527156549521, 0.6532460996477101, 0.81241458360887, 0.7843137254901962, 0.8140116763969975, 0.7229184071289334, 0.8925172269221382, 0.8841045348933699, 0.907630907431227, 0.87755787030676, 0.6193239798490286, 0.5954586167000432, 0.6434699820951293, 0.5542767903564618]
19	19	[0.8072811843105685, 0.789049919484702, 0.8027375201288245, 0.7600527356624918, 0.8122568093385214, 0.8503937007874016, 0.8601134215500945, 0.8127183787561146, 0.8077565737402164, 0.6990291262135923, 0.7268370607028753, 0.5853044791142425, 0.8100004409365492, 0.7673179396092363, 0.7878787878787878, 0.6805149210064365, 0.89392128978689, 0.882915577545432, 0.905081739346915, 0.8611579792834391, 0.6144962253806052, 0.5870278984059042, 0.6134569116346972, 0.513579278142426]
